,score,team
154,0.05015616111967829,Netherlands
44,0.041340705204719407,Brazil
2,0.033410540912026894,Argentina
85,0.028286158417133694,Japan
163,0.027954229253792987,Croatia
202,0.026443370263669753,Spain
200,0.024350816922701406,South Korea
195,0.020556983863932732,Portugal
98,0.020128397075414063,Switzerland
143,0.014579513065259956,Poland
66,0.0133815243736881,Morocco
99,0.012595096156078334,Australia
174,0.012449159954098584,France
142,0.012189403891628668,England
212,0.009684809900671457,United States
150,0.008965900174585682,Senegal
